TF	spearman_pval	spearman_rho	spearman_adj_pval
HOXB6	3.49217183847787e-07	0.619053185271771	0.000139686873539115
HOXB7	1.14181332388048e-05	0.544944476914085	0.00456725329552192
HOXC4	0.0253350621920346	-0.291700759789597	1
IKZF1	0	-0.736294564582116	0
IRF6	0.73440964282794	-0.0450029222676797	1
KLF11	0.377688991314193	0.116715371127995	1
KLF15	0.136178375021156	0.196201052016365	1
KLF2	0.452213965443723	0.0995324371712449	1
KLF3	0.791568153810379	-0.0350672121566336	1
KLF6	0.261250667743137	0.148392752776154	1
MAF	0.451947430709728	0.0995908825248393	1
MAFA	0.493724857160829	0.0906487434248977	1
MAZ	4.61371590822951e-06	0.565575686732905	0.00184548636329181
MSANTD3	1.98066623667784e-06	0.583869082407949	0.000792266494671136
NKX6-3	0.231950042674288	0.157802454704851	1
NR1D1	0.317964467615142	-0.132028053769725	1
NR1I2	0.00426733415904146	0.368790181180596	1
NR1I3	0.54859022520679	0.0794856808883694	1
NR2C1	0.0233692912958416	0.295616598480421	1
NR2F6	0.000146448114822013	0.479544126241964	0.058579245928805
NR6A1	2.32028905665233e-08	0.666627703097604	9.28115622660931e-06
PLAGL2	0.0102241865085677	0.333196960841613	1
PPARD	0	-0.703272939801286	0
RARB	0.858493992294142	0.0236703682057276	1
RARG	0.115674551966168	-0.206954997077732	1
RFX7	0.424707441175227	-0.105669199298656	1
SMAD5	0.237761111623361	0.155873758036236	1
SNAI1	0.0160584655279371	0.313208649912332	1
SNAI3	0.0010190577423344	-0.420163646990064	0.40762309693376
SOHLH2	0.347253657265424	0.124313267095266	1
SOX12	0.378650294448455	0.116481589713618	1
TFAP2E	0.0332964886478639	0.278082992402104	1
THRB	0.656174448629239	-0.0590298071303332	1
VEZF1	0.000148898160532534	0.479076563413209	0.0595592642130136
ZBTB26	0.434289099984973	0.103506721215663	1
ZBTB32	3.13365369482836e-06	-0.574050263004091	0.00125346147793134
ZBTB6	0.0326145509606536	0.279135008766803	1
ZFP57	0.0106201308078684	0.33156049094097	1
ZKSCAN1	0.00728397231804836	0.347457627118644	1
ZNF135	0.935892178340512	-0.0106954997077732	1
ZNF136	0.0590326106061178	-0.247457627118644	1
ZNF140	0.314525380221687	-0.132963179427236	1
ZNF274	1.65137136245414e-08	-0.671303331385155	6.60548544981657e-06
ZNF317	0.0202468950158624	-0.302454704850964	1
ZNF382	0.119486662079356	-0.204850964348334	1
ZNF460	0.0456363024024242	0.261601402688486	1
ZNF528	3.34821097609415e-07	-0.619871420222092	0.000133928439043766
ZNF682	0.272785198208594	0.144886031560491	1
ZNF684	0.95167752277326	0.00806545879602572	1
ZSCAN29	0.43350767865798	-0.103682057276447	1
ATF3	0.289296325287251	-0.140035067212157	1
BCL6	1.17356632609718e-05	-0.544301578024547	0.00469426530438874
E2F2	0.0522032894326821	-0.254295733489188	1
E2F3	0.051157909585436	0.255406195207481	1
E2F4	0.00559453607327681	-0.358153126826417	1
GFI1	0.00333968470588334	-0.378141437755698	1
GSX2	0.672204916546354	0.0561075394506137	1
HES1	0.816816526431601	0.0307422559906487	1
HES2	0.806556656592901	-0.0324956165984804	1
HOXA2	1.6125086209435e-06	0.588194038573933	0.000645003448377401
HOXA5	5.11218704123295e-06	0.563296317942724	0.00204487481649318
HOXA9	0	0.727177089421391	0
HOXB2	0.135115483051222	0.196727060198714	1
HOXB5	7.16448703852134e-05	0.499123319696084	0.0286579481540853
JUNB	0.0056438977875271	-0.357802454704851	1
NRL	0.000242953444660532	-0.464991233196961	0.097181377864213
PITX1	0.368157229067043	0.119053185271771	1
SOX4	0	0.737989479836353	0
SOX8	0.379131499072087	0.116364699006429	1
SP3	0.000109381835911689	-0.487668030391584	0.0437527343646755
TCFL5	0.051816132114375	0.254704850964348	1
TFEC	0.831575743029339	0.02822910578609	1
ZNF740	6.2163976133341e-06	-0.558912916423144	0.00248655904533364
