name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
POU3F2	2.55503031160734	2.10092871483744	2.91762648568463	9.97084805738228e-64	1.32739479282435e-63
POU3F3	2.69198448209432	2.22588310840668	3.05913069515414	4.75131270736713e-74	6.59677966022861e-74
POU3F4	2.87106899483801	2.45180602054111	3.21262016617192	1.28496448411827e-88	1.90681656244156e-88
POU4F1	4.31871972651215	3.9355587568061	4.65102008650752	2.21697395212524e-249	5.97659227927096e-249
POU4F3	3.79857972335772	3.42001520063477	4.11029535731673	5.86457020742168e-183	1.2690223826762e-182
POU5F1B	2.98759374067263	2.54353652285252	3.34880730716071	9.67639349984425e-99	1.50134930321324e-98
POU6F2	2.19018197703562	1.89940726036859	2.43122255674838	9.02995789326263e-40	1.06032354935407e-39
PROX1	1.00278421120895	0.881426067623507	1.11110715403307	0.464833024359639	0.465552580124902
RFX2	4.58875342006744	3.79796823363211	5.16134403352331	1.26123004343075e-287	4.22806133730412e-287
SMAD3	2.56133434173415	2.35353107143797	2.72733755070132	3.46206318427962e-64	4.63758774374517e-64
TGIF1	4.87599121446235	4.38230753626284	5.29550142240468	0	0
TGIF2	4.54132700071368	4.01354792004697	4.99114388321069	1.00661445170645e-280	3.27276155906568e-280
RFX5	4.333306307054	3.54429560465375	4.87385057102264	2.21443649089521e-251	6.14910047042574e-251
RUNX2	7.92227348972359	7.28091148287448	8.38105854255892	0	0
EOMES	1.70109980068734	1.4479741768643	1.92383172773867	4.20104767699423e-16	4.42683688438968e-16
MGA	2.41126668693501	2.0468952711663	2.70994510411661	1.14718251921544e-53	1.44121765035415e-53
TBR1	2.14875225444495	1.83854038575774	2.39607182773119	2.20579071729061e-37	2.57143530466131e-37
TBX15	2.41126668693501	2.0468952711663	2.70994510411661	1.14718251921544e-53	1.44121765035415e-53
TBX19	1.90065914830545	1.67333967922042	2.10493882779159	1.50663765282463e-24	1.63831018718914e-24
TBX1	2.16509824692912	1.86229106376065	2.40660400535491	2.56847552443107e-38	3.00506991737234e-38
TBX4	2.35488213285405	2.00183555581014	2.63354281514762	6.11651415445747e-50	7.5235449770608e-50
TBX5	2.35488213285405	2.00183555581014	2.63354281514762	6.11651415445747e-50	7.5235449770608e-50
TEAD3	4.22113137478566	3.82470367886502	4.54429871845148	3.4433278948625e-236	8.98319817732272e-236
TFAP2A	5.31620309090679	4.75044703608613	5.76947071993166	0	0
TFAP2B	5.82282250865213	5.25575720201593	6.27162822984572	0	0
TFAP2C	5.18216611758471	4.63150678294321	5.62597930189076	0	0
BHLHE40	1.5601656222865	1.32295770277274	1.77556611740556	3.41379017834889e-11	3.52831029615292e-11
BHLHE23	3.17625479090955	2.90420172065048	3.40276804198632	3.39222729606546e-116	5.68593539003719e-116
FIGLA	6.16186285904695	5.43894120839901	6.72704179947893	0	0
HES7	1.39785910856639	1.19256762938397	1.5782708089666	1.13507768603585e-06	1.1510897537072e-06
HEY1	1.68225881455742	1.43173005279945	1.9045828717486	2.14404399495748e-15	2.25560400770324e-15
MAX	1.26657324716293	1.08202815744694	1.43979262672203	0.000609370617213874	0.000612209300213318
MNT	1.76768628643969	1.57197871823455	1.92814472324877	9.92252735766049e-19	1.05590052638262e-18
